kind,crawl_role,path_group,title,h1,meta_description,url,canonical,status_code
product,detail,products/advisory-services,Sophos Security Testing Services,Sophos Security Testing services,"Sophos Security Testing services simulate real adversaries to uncover vulnerabilities, validate defenses, and strengthen resilience with expert-led penetration testing and assessments.",https://www.sophos.com/en-gb/products/advisory-services/security-testing,https://www.sophos.com/en-gb/products/advisory-services/security-testing,200
product,detail,products/buy-sophos-online,How to Buy Sophos Products and Solutions | sophos.com,How to Buy Sophos Products,Purchase products through our amazing vendors or download Sophos Central and try our products commitment-free.,https://www.sophos.com/en-gb/products/buy-sophos-online,https://www.sophos.com/en-gb/products/buy-sophos-online,200
product,detail,products/central-activation,Sophos Central Account Activation | Sophos,Sophos Central Account Activation,Submit this form Check your email and activate your account Apply your license key,https://www.sophos.com/en-gb/products/central-activation,https://www.sophos.com/en-gb/products/central-activation,200
product,detail,products/central-device-encryption,Full Disk Encryption: Sophos Central Device Encryption,Sophos Central Device Encryption,The first line of defense. Leverage Windows BitLocker and macOS FileVault to secure devices and data in minutes with Sophos Central Device Encryption.,https://www.sophos.com/en-gb/products/central-device-encryption,https://www.sophos.com/en-gb/products/central-device-encryption,200
product,detail,products/cloud-native-security,AWS Security FAQs | Sophos for AWS Workloads,FAQ,Visit the AWS Marketplace. Select the Sophos UTM on AWS offering that fits your needs. Stand-alone or Auto Scaling is available with PAYG or BYOL options.,https://www.sophos.com/en-gb/products/cloud-native-security/aws-faqs,https://www.sophos.com/en-gb/products/cloud-native-security/aws-faqs,200
product,detail,products/cloud-native-security,Buy Sophos on AWS: PAYG or BYOL,Purchasing Sophos on AWS,Buy Sophos UTM as a pre-configured Amazon Machine image (AMI) from the AWS Marketplace. Stand Alone or Auto-Scaling Options Available.,https://www.sophos.com/en-gb/products/cloud-native-security/aws-pricing,https://www.sophos.com/en-gb/products/cloud-native-security/aws-pricing,200
product,detail,products/cloud-native-security,Azure Cloud Security FAQs | Sophos Firewall for Azure,FAQ,Frequently Asked Questions about Sophos Firewall on Microsoft Azure. PAYG or BYOL - Standard and Advanced Licenses are Available.,https://www.sophos.com/en-gb/products/cloud-native-security/azure-faqs,https://www.sophos.com/en-gb/products/cloud-native-security/azure-faqs,200
product,detail,products/cloud-native-security,Sophos for Azure: Web Application Firewall and IPS Security Integration for Microsoft Azure | Sophos,Get Pricing,/solutions/cloud-native-security/azure/get-pricing,https://www.sophos.com/en-gb/products/cloud-native-security/azure-get-pricing,https://www.sophos.com/en-gb/products/cloud-native-security/azure-get-pricing,200
product,detail,products/cloud-native-security,Buy Azure Cloud Security: Sophos Firewall on Azure,Purchasing Sophos on Azure,"Buy Sophos from the Azure Marketplace. Launch and Use Sophos Firewall on Azure. Stand Alone or Auto-Scaling, PAYG or BYOL Options are Available.",https://www.sophos.com/en-gb/products/cloud-native-security/azure-pricing,https://www.sophos.com/en-gb/products/cloud-native-security/azure-pricing,200
product,detail,products/cloud-native-security,Sophos ITDR - Identity Threat Detection and Response,Identity Threat Detection and Response (ITDR),"Improve your organization’s security posture with Identity Threat Detection and Response (ITDR) from Sophos. Identify and respond to threats that bypass traditional identity security controls, monitor for identity misconfigurations and risks, and provide intelligence on compromised credentials.",https://www.sophos.com/en-gb/products/cloud-native-security/cloud-identity-security,https://www.sophos.com/en-gb/products/identity-threat-detection-and-response,200
product,detail,products/cloud-native-security,AI-Native Cloud Security with XDR | Cloud Workload Protection,"AI-native cloud security, from runtime to response.","Sophos delivers AI-native cloud security from runtime to response, with unified XDR detection across AWS, Azure, GCP, and OCI, Kubernetes, Linux, and Windows Server.​",https://www.sophos.com/en-gb/products/cloud-native-security/cloud-workload-protection,https://www.sophos.com/en-gb/products/cloud-workload-protection,200
product,detail,products/cloud-native-security,Secure Oracle Cloud Workloads with Sophos Cloud Native Security,Cloud Native Security for Oracle Cloud,"Protect Oracle Cloud Workloads, Secure Serverless Environments and Streamline OCI Threat Investigations with Sophos Cloud Native Security. Free Trial.",https://www.sophos.com/en-gb/products/cloud-native-security/oracle,https://www.sophos.com/en-gb/products/cloud-native-security/oracle,200
product,detail,products/cloud-native-security,AI-Native Cloud Security with XDR | Cloud Workload Protection,"AI-native cloud security, from runtime to response.","Sophos delivers AI-native cloud security from runtime to response, with unified XDR detection across AWS, Azure, GCP, and OCI, Kubernetes, Linux, and Windows Server.​",https://www.sophos.com/en-gb/products/cloud-native-security/visibility-governance-compliance,https://www.sophos.com/en-gb/products/cloud-workload-protection,200
product,detail,products/cloud-native-security,Cloud Governance: Multi-Cloud Security with Sophos CNS,"Visibility, Governance, and Compliance","Increase efficiency with cloud security posture management across AWS, Azure, and GCP environments in a single console with Sophos Cloud Native Security.",https://www.sophos.com/en-gb/products/cloud-native-security/visibility-governance-compliance-sample,https://www.sophos.com/en-gb/products/cloud-native-security/visibility-governance-compliance,200
product,detail,products/cloud-optix,AI-Native Cloud Security with XDR | Cloud Workload Protection,"AI-native cloud security, from runtime to response.","Sophos delivers AI-native cloud security from runtime to response, with unified XDR detection across AWS, Azure, GCP, and OCI, Kubernetes, Linux, and Windows Server.​",https://www.sophos.com/en-gb/products/cloud-optix,https://www.sophos.com/en-gb/products/cloud-workload-protection,200
product,detail,products/cloud-optix,AI-Native Cloud Security with XDR | Cloud Workload Protection,"AI-native cloud security, from runtime to response.","Sophos delivers AI-native cloud security from runtime to response, with unified XDR detection across AWS, Azure, GCP, and OCI, Kubernetes, Linux, and Windows Server.​",https://www.sophos.com/en-gb/products/cloud-optix/cloud-compliance,https://www.sophos.com/en-gb/products/cloud-workload-protection,200
product,detail,products/cloud-optix,AI-Native Cloud Security with XDR | Cloud Workload Protection,"AI-native cloud security, from runtime to response.","Sophos delivers AI-native cloud security from runtime to response, with unified XDR detection across AWS, Azure, GCP, and OCI, Kubernetes, Linux, and Windows Server.​",https://www.sophos.com/en-gb/products/cloud-optix/devsecops,https://www.sophos.com/en-gb/products/cloud-workload-protection,200
product,detail,products/cloud-optix,AI-Native Cloud Security with XDR | Cloud Workload Protection,"AI-native cloud security, from runtime to response.","Sophos delivers AI-native cloud security from runtime to response, with unified XDR detection across AWS, Azure, GCP, and OCI, Kubernetes, Linux, and Windows Server.​",https://www.sophos.com/en-gb/products/cloud-optix/integrations,https://www.sophos.com/en-gb/products/cloud-workload-protection,200
product,detail,products/cloud-optix3,Sophos Cloud Optix: Cloud Security Posture Management,Sophos Cloud Security Posture Management,"Cloud Optix CSPM to Optimize Cloud Costs and Improve Security. Automated Workload Discovery, Visualization and Guided Remediation. Try Cloud Optix Free.",https://www.sophos.com/en-gb/products/cloud-optix3,https://www.sophos.com/en-gb/products/cloud-optix,200
product,detail,products/cloud-workload-protection,AI-Native Cloud Security with XDR | Cloud Workload Protection,"AI-native cloud security, from runtime to response.","Sophos delivers AI-native cloud security from runtime to response, with unified XDR detection across AWS, Azure, GCP, and OCI, Kubernetes, Linux, and Windows Server.​",https://www.sophos.com/en-gb/products/cloud-workload-protection,https://www.sophos.com/en-gb/products/cloud-workload-protection,200
product,detail,products/email,Sophos Email: Your Complete Email Security Portfolio,Your Complete Cloud Email Security Portfolio,"Protect your organization against email spam, malware, phishing and social engineering attacks with Sophos Cloud Based Email Security and Phish Threat Simulation solutions.",https://www.sophos.com/en-gb/products/email,https://www.sophos.com/en-gb/products/email,200
product,detail,products/endpoint-antivirus,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-antivirus,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/endpoint-antivirus,"Buy Sophos Endpoint - Advanced, XDR, or MDR Complete",Get a Quote for Sophos Endpoint,"Buy Sophos Endpoint powered by Intercept X for endpoint protection. License options include Advanced, Advanced with XDR and Advanced with MDR Complete.",https://www.sophos.com/en-gb/products/endpoint-antivirus/request-pricing,https://www.sophos.com/en-gb/products/endpoint-security/how-to-buy,200
product,detail,products/endpoint-security,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-security,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/endpoint-security,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-security/cloud,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/endpoint-security,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-security/detection,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/endpoint-security,Sophos EDR - Endpoint Detection and Response,Endpoint Detection and Response (EDR),"Sophos EDR extends Sophos Endpoint with detection and response capabilities, enabling you to identify, investigate, and neutralize evasive threats across your endpoints and servers.",https://www.sophos.com/en-gb/products/endpoint-security/edr,https://www.sophos.com/en-gb/products/endpoint-security/edr,200
product,detail,products/endpoint-security,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-security/enterprise,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/endpoint-security,Advanced Exploit Prevention - Zero-day Exploits,Sophos Exploit Prevention,Intercept the techniques attackers use to prevent zero-day exploits from spreading malware throughout your network with Sophos Endpoint security.,https://www.sophos.com/en-gb/products/endpoint-security/exploit-prevention,https://www.sophos.com/en-gb/products/endpoint-security/exploit-prevention,200
product,detail,products/endpoint-security,Security Operations for IT (SecOps),Upgrade Your IT Security Operations,"Sophos IT Security Operations (SecOps) Solutions. Easily identifying which devices need attention, and what action needs to be taken to fix them with Sophos XDR. Learn More.",https://www.sophos.com/en-gb/products/endpoint-security/it-security-operations,https://www.sophos.com/en-gb/products/endpoint-security/it-security-operations,200
product,detail,products/endpoint-security,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-security/management,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/endpoint-security,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-security/platform,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/endpoint-security,Product - platform - 1763540924491,Product - platform - 1763540924491,,https://www.sophos.com/en-gb/products/endpoint-security/platform-product,https://www.sophos.com/en-gb/products/endpoint-security/platform-product,200
product,detail,products/endpoint-security,Get Pricing for Sophos Endpoint Powered by Intercept X,Sophos Endpoint Get Pricing,"Get a no-obligation quote for Sophos Endpoint, customized to your needs.",https://www.sophos.com/en-gb/products/endpoint-security/request-pricing,https://www.sophos.com/en-gb/products/endpoint-security/request-pricing,200
product,detail,products/endpoint-security,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-security/security,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/endpoint-security,Sophos Endpoint Tech Specs,Sophos Endpoint Tech Specs,"View technical specifications for Sophos Endpoint Protection, including platform coverage, Workspace Protection integration, optional add-ons, and device security capabilities.",https://www.sophos.com/en-gb/products/endpoint-security/tech-specs,https://www.sophos.com/en-gb/products/endpoint-security/tech-specs,200
product,detail,products/endpoint-security,Threat Hunting,Hunt and Neutralize Security Threats,"Hunt and neutralize security threats with Sophos Endpoint powered by Intercept X. Advanced EDR protection uses powerful querying and remote response capabilities to quickly find IoCs, perform Guided Threat Hunting and remotely access, investigate and remediate devices.",https://www.sophos.com/en-gb/products/endpoint-security/threat-hunting,https://www.sophos.com/en-gb/products/endpoint-security/threat-hunting,200
product,detail,products/endpoint-security,Sophos Endpoint - AI-powered Endpoint Security,,"Sophos Endpoint delivers unparalleled protection, stopping advanced attacks before they impact your systems. Powerful detection and response tools (EDR/XDR) let your organization hunt for, investigate, and respond to suspicious activity and indicators of an attack.",https://www.sophos.com/en-gb/products/endpoint-security/threat-prevention,https://www.sophos.com/en-gb/products/endpoint-security,200
product,detail,products/extended-detection-and-response,Sophos XDR - Extended Detection and Response Platform,Extended Detection and Response (XDR),Sophos' XDR platform defends against active adversaries with comprehensive EDR and XDR tools to stop advanced attacks.,https://www.sophos.com/en-gb/products/extended-detection-and-response,https://www.sophos.com/en-gb/products/extended-detection-and-response,200
product,detail,products/free-tools,Free Tools | Sophos,Free Tools,We Deliver Superior Cybersecurity Outcomes for Real-World Organizations Worldwide with a Broad Portfolio of Advanced Security Products and Services.,https://www.sophos.com/en-gb/products/free-tools,https://www.sophos.com/en-gb/free-tools,200
product,detail,products/identity-threat-detection-and-response,Sophos ITDR - Identity Threat Detection and Response,Identity Threat Detection and Response (ITDR),"Improve your organization’s security posture with Identity Threat Detection and Response (ITDR) from Sophos. Identify and respond to threats that bypass traditional identity security controls, monitor for identity misconfigurations and risks, and provide intelligence on compromised credentials.",https://www.sophos.com/en-gb/products/identity-threat-detection-and-response,https://www.sophos.com/en-gb/products/identity-threat-detection-and-response,200
